Word	TF-IDF Score
horror	3.4434658295541802
2024	2.661597336951566
best	2.310223377596885
movies	2.235678372728729
moore	1.8246934523728826
demi	1.8246934523728826
movie	1.7550487538402733
halloween	1.6379791638217716
review	1.4190879941942658
films	1.3715200207192462
new	1.3064303423009824
finally	1.2577742218350851
xenomorph	1.2494435576508176
watched	1.1891660646381172
dance	1.1864935452072851
scott	1.13774841632313
film	1.1209493374837567
happened	1.1066927097082844
10	1.048185367690498
honest	0.9809871654329395
